CustomerID,Recency,Frequency,Monetary,CustLocation
C1022151,216,1,166.0,DELHI
C1022169,32,1,296.0,DELHI
C1022184,116,1,500.0,DELHI
C1022238,123,1,512.65,DELHI
C1022263,102,2,415.0,DELHI
C1022263,102,2,415.0,DELHI
C1022354,306,1,25.0,DELHI
C1022362,245,1,2148.0,DELHI
C1022375,63,1,1000.0,DELHI
C1022384,31,2,399.0,DELHI
C1022447,306,1,250.0,DELHI
C1022589,62,1,164.0,DELHI
C1022632,114,1,400.0,DELHI
C1022670,336,1,18.0,DELHI
C1022685,115,1,200.0,DELHI
C1022712,86,2,455.0,DELHI
C1022833,1,2,271.0,DELHI
C1022858,184,1,5831.0,DELHI
C1022861,62,4,34739.0,DELHI
C1022891,101,1,1741.0,DELHI
C1022935,50,2,14999.0,DELHI
C1022943,50,1,400.0,DELHI
C1022949,306,1,1000.0,DELHI
C1022950,245,1,5060.2,DELHI
C1022967,86,1,50.0,DELHI
C1023120,62,2,3592.0,DELHI
C1023123,118,1,522.54,DELHI
C1023217,62,3,1999.0,DELHI
C1023232,92,2,519.0,DELHI
C1023250,111,2,12592.0,DELHI
C1023270,124,1,225.0,DELHI
C1023353,118,1,250.0,DELHI
C1023358,86,1,50.0,DELHI
C1023360,115,1,2500.0,DELHI
C1023458,306,1,330.0,DELHI
C1023528,92,2,1000.0,DELHI
C1023732,2,2,203.0,DELHI
C1023816,1,2,1900.0,DELHI
C1023821,111,1,315.0,DELHI
C1023829,110,2,2728.0,DELHI
C1023876,87,1,377.8,DELHI
C1023885,87,4,2524.0,DELHI
C1023885,87,4,2524.0,DELHI
C1023892,276,1,610.0,DELHI
C1023934,115,1,205.0,DELHI
C1023938,32,2,2200.02,DELHI
C1023950,215,1,400.0,DELHI
C1023974,276,1,408.0,DELHI
C1023978,87,1,250.0,DELHI
C1024060,277,1,100.0,DELHI
C1024085,155,2,2160.0,DELHI
C1024150,112,2,997.0,DELHI
C1024219,108,2,200.0,DELHI
C1024319,115,1,100.0,DELHI
C1024344,215,1,24.0,DELHI
C1024389,111,1,50.0,DELHI
C1024492,336,1,9.0,DELHI
C1024521,86,2,675.0,DELHI
C1024555,116,1,490.0,DELHI
C1024556,93,1,2000.0,DELHI
C1024733,79,1,2940.0,DELHI
C1024817,184,1,6498.0,DELHI
C1024891,113,1,24.0,DELHI
C1024912,32,2,1363.0,DELHI
C1024937,123,1,500.0,DELHI
C1024986,32,3,1806.01,DELHI
C1025014,92,2,2652.0,DELHI
C1025072,50,1,400.0,DELHI
C1025119,83,3,1440.0,DELHI
C1025123,31,1,300.0,DELHI
