CustomerID,Recency,Frequency,Monetary,CustLocation
C1024671,88,1,1500.0,BANGALORE
C1024688,74,2,771.0,BANGALORE
C1024688,74,2,771.0,BANGALORE
C1024715,31,1,1555.0,BANGALORE
C1024737,2,2,300.0,BANGALORE
C1024743,115,1,1599.0,BANGALORE
C1024767,86,3,1659.59,BANGALORE
C1024775,74,2,967.0,BANGALORE
C1024785,118,2,1000.0,BANGALORE
C1025131,118,1,3357.0,BANGALORE
C1025232,123,1,530.0,BANGALORE
C1025252,124,1,55.0,BANGALORE
C1025257,246,1,4974.0,BANGALORE
C1025380,185,1,803.0,BANGALORE
C1025384,62,1,403.0,BANGALORE
C1025511,306,1,166.95,BANGALORE
C1025518,75,1,890.0,BANGALORE
C1025536,246,1,1000.0,BANGALORE
C1025580,75,2,1200.0,BANGALORE
C1025652,62,2,295.0,BANGALORE
C1025718,62,2,1452.0,BANGALORE
C1025739,107,1,1000.0,BANGALORE
C1025776,109,2,50.0,BANGALORE
C1025840,87,1,500.0,BANGALORE
C1025917,101,1,280.0,BANGALORE
C1025939,110,1,591.0,BANGALORE
C1025992,119,1,230.0,BANGALORE
C1026031,277,1,200.0,BANGALORE
C1026045,31,1,1250.0,BANGALORE
C1026061,92,1,786.0,BANGALORE
C1026151,117,1,100.0,BANGALORE
C1026169,93,2,999.0,BANGALORE
C1026186,110,2,424.0,BANGALORE
C1026281,116,1,1250.0,BANGALORE
C1026341,2,1,640.0,BANGALORE
C1026355,123,1,742.4,BANGALORE
C1026369,102,1,16.0,BANGALORE
C1026412,74,2,5090.0,BANGALORE
C1026443,277,1,202.0,BANGALORE
C1026584,83,2,1807.0,BANGALORE
C1026587,1,1,155.0,BANGALORE
C1026588,93,2,59.0,BANGALORE
C1026592,62,2,665.0,BANGALORE
C1026660,92,1,550.0,BANGALORE
C1026685,93,2,6550.0,BANGALORE
C1026740,108,1,344.85,BANGALORE
C1026765,86,1,300.0,BANGALORE
C1026776,246,1,700.0,BANGALORE
C1026782,154,1,6.99,BANGALORE
C1026890,305,1,3330.0,BANGALORE
C1026949,112,1,1637.47,BANGALORE
C1027186,276,1,595.0,BANGALORE
C1027255,62,1,483.91,BANGALORE
C1027283,71,1,400.0,BANGALORE
C1027345,246,1,5000.0,BANGALORE
C1027372,32,1,77.0,BANGALORE
C1027375,74,1,400.0,BANGALORE
C1027431,1,2,1301.0,BANGALORE
C1027550,87,3,500.0,BANGALORE
C1027572,109,1,444.0,BANGALORE
C1027590,155,1,1429.0,BANGALORE
C1027592,114,1,515.0,BANGALORE
C1027672,154,1,174.0,BANGALORE
C1027739,185,1,9567.0,BANGALORE
C1027757,88,2,119.0,BANGALORE
C1027772,109,2,824.5,BANGALORE
C1027815,88,2,851.33,BANGALORE
C1027860,109,2,100.0,BANGALORE
C1027917,118,2,2567.05,BANGALORE
C1028039,88,2,2990.0,BANGALORE
C1028043,1,1,8.0,BANGALORE
C1028112,118,2,21900.0,BANGALORE
C1028120,106,2,3015.0,BANGALORE
C1028121,114,2,500.0,BANGALORE
C1028180,87,1,188.0,BANGALORE
C1028242,104,1,150.0,BANGALORE
C1028247,93,1,200.0,BANGALORE
C1028270,124,1,180.0,BANGALORE
C1028359,117,1,1037.2,BANGALORE
C1028466,75,2,500.0,BANGALORE
C1028540,62,4,340.0,BANGALORE
C1028573,1,2,1563.0,BANGALORE
C1028647,110,2,1026.0,BANGALORE
C1028665,116,2,2050.0,BANGALORE
C1028748,245,1,50.0,BANGALORE
C1028839,112,1,120.0,BANGALORE
C1028842,103,1,3700.0,BANGALORE
C1028879,75,2,851.0,BANGALORE
C1028917,119,1,40.0,BANGALORE
C1028928,87,1,408.0,BANGALORE
C1028952,277,1,147.0,BANGALORE
C1029032,114,1,255.0,BANGALORE
C1029045,2,1,1188.0,BANGALORE
C1029077,337,1,300.0,BANGALORE
C1029126,83,2,597.0,BANGALORE
C1029150,2,1,655.5,BANGALORE
C1029174,104,1,435.0,BANGALORE
C1029242,155,1,307.0,BANGALORE
C1029278,32,2,300.0,BANGALORE
C1029288,75,2,515.0,BANGALORE
C1029312,337,1,123.0,BANGALORE
C1029333,337,1,23809.0,BANGALORE
C1029358,93,1,335.0,BANGALORE
C1029362,63,1,2998.0,BANGALORE
C1029377,124,1,490.0,BANGALORE
C1029385,76,1,880.0,BANGALORE
C1029479,102,1,397.0,BANGALORE
C1029518,62,1,531.0,BANGALORE
C1029520,101,2,2280.0,BANGALORE
C1029531,124,1,60.0,BANGALORE
C1029612,216,1,1190.0,BANGALORE
C1029625,32,1,425.0,BANGALORE
C1029627,109,2,290.0,BANGALORE
C1029648,2,2,30.0,BANGALORE
C1029674,92,2,200.0,BANGALORE
C1029847,118,2,1206.0,BANGALORE
C1030137,277,1,562.0,BANGALORE
C1030165,103,1,3000.0,BANGALORE
